STAID,LAT,LON,geometry
19019,59.54527777777778,6.3613888888888885,POINT (6.3613888888888885 59.54527777777778)
19020,63.34305555555556,10.653055555555556,POINT (10.653055555555556 63.34305555555556)
19021,66.30805555555555,14.1375,POINT (14.1375 66.30805555555555)
19022,59.63305555555556,11.35,POINT (11.35 59.63305555555556)
19023,63.20555555555556,11.110833333333334,POINT (11.110833333333334 63.20555555555556)
19024,62.55,9.1,POINT (9.1 62.55)
19025,65.2925,13.533333333333331,POINT (13.533333333333331 65.2925)
19026,62.301944444444445,10.848333333333334,POINT (10.848333333333334 62.301944444444445)
19027,65.4413888888889,13.398888888888887,POINT (13.398888888888887 65.4413888888889)
19028,65.59638888888888,13.98,POINT (13.98 65.59638888888888)
19029,62.84055555555556,8.298055555555555,POINT (8.298055555555555 62.84055555555556)
19030,66.01388888888889,11.689166666666669,POINT (11.689166666666669 66.01388888888889)
19031,68.32694444444444,15.6225,POINT (15.6225 68.32694444444444)
19032,61.93194444444444,7.224444444444445,POINT (7.224444444444445 61.93194444444444)
19033,58.340833333333336,8.6,POINT (8.6 58.340833333333336)
19034,59.90833333333333,9.523333333333332,POINT (9.523333333333332 59.90833333333333)
19035,61.70055555555556,8.28277777777778,POINT (8.28277777777778 61.70055555555556)
19037,65.51166666666667,14.021666666666668,POINT (14.021666666666668 65.51166666666667)
19038,58.02833333333333,7.459444444444444,POINT (7.459444444444444 58.02833333333333)
19039,59.17666666666666,6.068055555555556,POINT (6.068055555555556 59.17666666666666)
19040,62.29583333333333,10.736944444444443,POINT (10.736944444444443 62.29583333333333)
19041,59.146388888888886,5.25,POINT (5.25 59.146388888888886)
19042,69.91166666666668,20.155,POINT (20.155 69.91166666666668)
19043,66.36638888888888,12.615277777777775,POINT (12.615277777777775 66.36638888888888)
19045,66.84805555555555,15.314166666666669,POINT (15.314166666666669 66.84805555555555)
19047,66.45805555555556,14.309444444444445,POINT (14.309444444444445 66.45805555555556)
19048,59.31166666666666,10.5125,POINT (10.5125 59.31166666666666)
19049,69.29388888888889,17.778888888888886,POINT (17.778888888888886 69.29388888888889)
19050,58.86527777777778,9.5975,POINT (9.5975 58.86527777777778)
19051,63.20666666666667,8.990833333333333,POINT (8.990833333333333 63.20666666666667)
19052,59.10666666666667,7.490833333333334,POINT (7.490833333333334 59.10666666666667)
19053,68.77166666666666,16.1875,POINT (16.1875 68.77166666666666)
19054,61.464444444444446,5.920833333333333,POINT (5.920833333333333 61.464444444444446)
19055,62.615833333333335,7.210555555555556,POINT (7.210555555555556 62.615833333333335)
19056,59.89277777777778,10.615555555555556,POINT (10.615555555555556 59.89277777777778)
19057,62.90888888888889,11.895,POINT (11.895 62.90888888888889)
19058,65.0975,11.701944444444443,POINT (11.701944444444443 65.0975)
19059,60.94166666666666,10.120555555555557,POINT (10.120555555555557 60.94166666666666)
19060,63.79083333333333,11.500555555555556,POINT (11.500555555555556 63.79083333333333)
19061,60.2,10.316666666666666,POINT (10.316666666666666 60.2)
19062,61.06166666666666,7.516666666666667,POINT (7.516666666666667 61.06166666666666)
19063,62.99805555555556,8.965277777777777,POINT (8.965277777777777 62.99805555555556)
19064,63.66388888888888,12.005833333333332,POINT (12.005833333333332 63.66388888888888)
19065,61.82138888888889,8.959166666666667,POINT (8.959166666666667 61.82138888888889)
19068,60.83805555555556,5.933055555555556,POINT (5.933055555555556 60.83805555555556)
19069,65.98055555555555,12.571944444444444,POINT (12.571944444444444 65.98055555555555)
19070,66.97472222222223,15.30277777777778,POINT (15.30277777777778 66.97472222222223)
19072,70.33444444444444,21.452777777777776,POINT (21.452777777777776 70.33444444444444)
19073,60.53444444444444,8.206388888888888,POINT (8.206388888888888 60.53444444444444)
19075,61.20166666666667,8.237499999999999,POINT (8.237499999999999 61.20166666666667)
19076,59.0,9.216666666666669,POINT (9.216666666666669 59)
19077,63.46694444444445,7.758055555555556,POINT (7.758055555555556 63.46694444444445)
19078,59.12444444444444,9.698333333333334,POINT (9.698333333333334 59.12444444444444)
19079,67.25,15.383055555555556,POINT (15.383055555555556 67.25)
